,pares_ordenados,primeira_palavra,comprimento,fonema,palavras,frase,abs_posicao
10,"[(6837, 0), (6840, 4), (6842, 0), (6844, 0), (6847, 0), (6849, 2), (6852, 1)]",6837,7,a,"[6837, 6840, 6842, 6844, 6847, 6849, 6852]"," de Barbacena e [a] Bolívia. simultane[a]mente, [a]o
 [a]brir- se [a] época terci[á]ria, se re[a]liza o fato prodigioso",5249
11,"[(9810, 0), (9811, 0), (9812, 0), (9814, 0)]",9810,4,a,"[9810, 9811, 9812, 9814]","
 secura da [a]tmosfera [a]tinge [a] graus [a]normalíssimos.
 Higrômetros",7519
12,"[(11509, 0), (11510, 1), (11512, 0), (11514, 0), (11515, 3), (11516, 2)]",11509,6,a,"[11509, 11510, 11512, 11514, 11515, 11516]"," em que pese [à] su[a] forma [a]traentíssima, [a] teori[a] plane[a]da: raramente
",8787
13,"[(12698, 1), (12699, 0), (12700, 1), (12702, 0), (12703, 0)]",12698,5,a,"[12698, 12699, 12700, 12702, 12703]"," e vão, di[a] [a] di[a], [a]bsorvendo [a] umidade exígua da",9714
14,"[(12767, 0), (12768, 1), (12770, 0), (12772, 0), (12772, 3)]",12767,5,a,"[12767, 12768, 12770, 12772, 12772]", Ao passo que [a] ca[a]tinga o [a]foga; [a]brevi[a]- lhe o,9767
15,"[(14226, 1), (14228, 0), (14232, 0), (14237, 0)]",14226,4,si,"[14226, 14228, 14232, 14237]"," revidar isoladas, dis[ci]plinam- [se], congregam- [se],
 arregimentam- [se]. São deste",10877
16,"[(15354, 0), (15356, 0), (15360, 0), (15361, 4)]",15354,4,a,"[15354, 15356, 15360, 15361]","- Hilaire: [há], [a]li,
 toda [a] melancoli[a] dos invernos,",11718
17,"[(15971, 0), (15972, 0), (15973, 1), (15975, 3), (15976, 3)]",15971,5,a,"[15971, 15972, 15973, 15975, 15976]"," o convizinham
 [a]té [a]o ce[a]rá, estari[a] despovo[a]do. O umbu",12185
18,"[(17298, 1), (17299, 0), (17302, 0), (17304, 0), (17306, 0)]",17298,5,a,"[17298, 17299, 17302, 17304, 17306]"," desaparecer das
 so[a]lheiras [a]nula- se [a] secura [a]normal dos [a]res. Novos tons",13182
19,"[(18966, 0), (18969, 0), (18973, 0), (18976, 0)]",18966,4,a,"[18966, 18969, 18973, 18976]"," na frente, [a]lumiando- lhes [a]
 rota, [a]brindo- lhes [a] estrada e devastando",14469
20,"[(19796, 0), (19799, 3), (19800, 0), (19803, 0)]",19796,4,a,"[19796, 19799, 19800, 19803]"," O deserto, [a]o sul, pareci[a] [a]vançar, dominando [a] paragem
 toda",15106
21,"[(21833, 0), (21835, 0), (21837, 0), (21838, 1)]",21833,4,a,"[21833, 21835, 21837, 21838]",",
 subordinou [a] uma [a]nálise cuidadosa [a] su[a] religiosidade original e",16653
22,"[(24454, 0), (24455, 1), (24457, 0), (24459, 0)]",24454,4,a,"[24454, 24455, 24457, 24459]"," das antíteses. [a] su[a] feição [a]parente é [a] de benignidade
",18699
23,"[(24466, 0), (24468, 0), (24468, 3), (24469, 0), (24472, 0)]",24466,5,a,"[24466, 24468, 24468, 24469, 24472]", extrema:— [a] terra [a]feiço[a]da [à] vida; [a] natureza fecunda erguida,18708
24,"[(24658, 2), (24661, 0), (24661, 3), (24662, 0)]",24658,4,a,"[24658, 24661, 24661, 24662]"," firmamento límpido
 arquei[a]- se [a]lumi[a]do [a]inda por um Sol",18851
25,"[(25454, 1), (25456, 0), (25457, 1), (25459, 1), (25460, 0)]",25454,5,dZi,"[25454, 25456, 25457, 25459, 25460]",", entrecruzados em re[de] complicadíssima [de] me[di]terrâneo
 cin[di]do [de] correntes fortes,",19454
26,"[(25974, 0), (25976, 5), (25979, 0), (25981, 0)]",25974,4,a,"[25974, 25976, 25979, 25981]"," generalizam, estudando [a] nossa fisiologi[a] própria, [a]
 [a]ção exclusiva de um",19852
27,"[(26372, 1), (26375, 0), (26379, 0), (26383, 0)]",26372,4,u,"[26372, 26375, 26379, 26383]","
 aliado ao mei[o] vence- [o], esmaga- [o], anula- [o] na concorrência formidável",20166
28,"[(26983, 0), (26985, 2), (26987, 0), (26989, 0)]",26983,4,a,"[26983, 26985, 26987, 26989]",", o velho [a]gregado colonial tendi[a]
 [a] chegar [a]o nosso tempo,",20640
29,"[(27004, 1), (27005, 0), (27006, 0), (27006, 4)]",27004,4,a,"[27004, 27005, 27006, 27006]"," estúpida,
 re[a]lizando [a] [a]nomali[a] de deslocar para",20656
30,"[(27461, 3), (27462, 0), (27465, 3), (27468, 0)]",27461,4,a,"[27461, 27462, 27465, 27468]",", que se exerci[a] [a]o norte; reduzi[a]- o [a]

 50",21011
31,"[(27867, 0), (27869, 0), (27870, 0), (27871, 0)]",27867,4,a,"[27867, 27869, 27870, 27871]"," o sulista, [a]bsolutamente
 [a]lheio [à]quela [a]gitação, revelava,",21323
32,"[(28310, 0), (28310, 2), (28311, 0), (28312, 2)]",28310,4,a,"[28310, 28310, 28311, 28312]"," correrias do bárbaro [a]me[a]çavam [a] bahi[a], ou Pernambuco",21669
33,"[(28436, 0), (28438, 0), (28440, 3), (28443, 0)]",28436,4,a,"[28436, 28438, 28440, 28443]"," logo de encontro [à] natureza [ad]versa. refluí[a]
 prestes [a]o litoral sem o",21771
34,"[(28707, 0), (28707, 4), (28709, 1), (28710, 0)]",28707,4,dZi,"[28707, 28707, 28709, 28710]", diferentes pela própria [di]versida[de] das con[di]ções [de] adaptação. Além,21989
35,"[(29824, 0), (29826, 0), (29826, 2), (29828, 0)]",29824,4,a,"[29824, 29826, 29826, 29828]", Sabe- se [a]inda que [ha]vi[a] no [a]nimo dos donatários a,22864
36,"[(30294, 0), (30296, 0), (30298, 0), (30299, 0)]",30294,4,a,"[30294, 30296, 30298, 30299]"," suas qualidades de [a]daptação, [a]puradas na [á]frica [a]dusta, é discutível",23244
37,"[(30697, 0), (30698, 2), (30699, 0), (30699, 2)]",30697,4,a,"[30697, 30698, 30699, 30699]", Grande do Norte [à] bahi[a] [ha]vi[a] 160 engenhos.,23551
38,"[(32878, 0), (32879, 0), (32880, 0), (32880, 2), (32882, 0)]",32878,5,a,"[32878, 32879, 32880, 32880, 32882]"," que lhe
 [a]largavam [a] [á]re[a], [a]bastecendo- os por",25270
39,"[(32911, 3), (32914, 5), (32916, 2), (32916, 3)]",32911,4,da,"[32911, 32914, 32916, 32916]",", aquela rude socie[da]de,
 incompreendi[da] e olvi[da][da], era o",25299
40,"[(34502, 4), (34504, 0), (34505, 0), (34508, 0)]",34502,4,a,"[34502, 34504, 34505, 34508]",", em que sobressaí[a] o [a]borígine [a]malgamando- se [a]o branco e ao",26541
41,"[(35082, 0), (35083, 5), (35086, 0), (35088, 0)]",35082,4,a,"[35082, 35083, 35086, 35088]"," Vimos- lhe [a] fisionomi[a] original: [a] flora [a]gressiva, o clima",26995
42,"[(35492, 0), (35494, 0), (35494, 3), (35496, 0)]",35492,4,a,"[35492, 35494, 35494, 35496]"," ao Tombador e [a]o
 [a]çuru[á]. [a]í, nesse trecho",27316
43,"[(36792, 1), (36793, 0), (36796, 0), (36797, 1)]",36792,4,dZi,"[36792, 36793, 36796, 36797]"," mais elevadas
 con[di]ções [de] vida, [de] on[de] decorre a acomodação",28319
44,"[(37014, 0), (37015, 1), (37016, 0), (37019, 0), (37020, 1)]",37014,5,a,"[37014, 37015, 37016, 37019, 37020]"," eliminação lenta, [à] su[a] [a]bsorção vagarosa, [à] su[a] diluição no cruzamento",28499
45,"[(37292, 0), (37293, 0), (37294, 0), (37297, 0), (37298, 0), (37299, 1)]",37292,6,a,"[37292, 37293, 37294, 37297, 37298, 37299]"," outras raças formadoras [a]penas [a]queles [a]tributos mais
 [a]justáveis [à] su[a] fase social incipiente",28715
46,"[(37375, 0), (37376, 4), (37377, 1), (37379, 1)]",37375,4,tSi,"[37375, 37376, 37377, 37379]", garantia de um [ti]po fisicamen[te] cons[ti]tuído e for[te]. Aquela raça,28780
47,"[(37734, 0), (37735, 1), (37736, 0), (37740, 0)]",37734,4,a,"[37734, 37735, 37736, 37740]"," litoral.
 [a] su[a] [a]parência, entretanto, [a]o primeiro lance de",29042
48,"[(38800, 0), (38801, 1), (38803, 0), (38804, 1)]",38800,4,u,"[38800, 38801, 38803, 38804]"," o jagunço e [o] ga[ú]cho
 [o] ga[ú]cho do Sul,",29845
49,"[(39701, 1), (39702, 4), (39703, 0), (39705, 2)]",39701,4,du,"[39701, 39702, 39703, 39705]","
— o par[do] avermelha[do] [do] couro curti[do]— sem uma",30533
50,"[(40117, 0), (40118, 1), (40120, 0), (40121, 1), (40123, 0)]",40117,5,u,"[40117, 40118, 40120, 40121, 40123]","..
 [o] ga[ú]cho
 [o] ga[ú]cho, [o] pealador valente,",30858
51,"[(40581, 3), (40584, 1), (40585, 3), (40587, 3)]",40581,4,du,"[40581, 40584, 40585, 40587]"," pleno campo, ajuntan[do] o
 ga[do] costea[do] ou encalçan[do] os bois esquivos",31209
52,"[(41106, 0), (41107, 2), (41107, 5), (41109, 0)]",41106,4,a,"[41106, 41107, 41107, 41109]"," incluindo- lhes [a] gene[a]logi[a] e [há]bitos
 característicos,",31606
53,"[(41775, 0), (41775, 5), (41777, 0), (41778, 2)]",41775,4,ka,"[41775, 41775, 41777, 41778]"," campo, frase [ca]racterísti[ca] daquela [ca]valaria rústi[ca], aos companheiros",32117
54,"[(42393, 2), (42394, 0), (42395, 3), (42396, 2)]",42393,4,du,"[42393, 42394, 42395, 42396]"," vai num
 crescen[do] [do] destala[do] ríspi[do] ao temero pronunciado",32581
55,"[(42455, 0), (42455, 2), (42460, 0), (42461, 0), (42464, 0), (42465, 1), (42468, 0)]",42455,7,a,"[42455, 42455, 42460, 42461, 42464, 42465, 42468]"," as notas do [a]boi[a]do...
 [a] [ar]ribada
 Segue [a] boi[a]da vagarosamente, [à] cadência daquele canto",32629
56,"[(42708, 0), (42710, 0), (42712, 0), (42715, 0)]",42708,4,u~,"[42708, 42710, 42712, 42715]"," lhe todas, [u]ma a [u]ma, [um] incidente, [um]
 pormenor qualquer",32812
57,"[(42853, 0), (42854, 1), (42860, 0), (42861, 1), (42862, 0)]",42853,5,a,"[42853, 42854, 42860, 42861, 42862]"," solo; e [a] boi[a]da estoura...
 [a] boi[a]da [ar]ranca.
 Nada",32907
58,"[(43239, 0), (43242, 0), (43245, 0), (43249, 0)]",43239,4,no,"[43239, 43242, 43245, 43249]"," a lida: [no]vos esforços, [no]vos arremessos, [no]vas façanhas,
 [no]vos riscos e novos",33182
59,"[(43254, 0), (43257, 0), (43258, 0), (43260, 0), (43263, 0)]",43254,5,a,"[43254, 43257, 43258, 43260, 43263]"," e novos perigos [a] despender, [a] [a]travessar e [a] vencer, [a]té que o boiadão",33193
60,"[(44233, 0), (44234, 0), (44235, 0), (44235, 4)]",44233,4,a,"[44233, 44234, 44235, 44235]"," página notável, [as]sinala [a] [a]nomali[a] de se não",33941
61,"[(44811, 2), (44814, 1), (44816, 0), (44817, 0), (44819, 0)]",44811,5,a,"[44811, 44814, 44816, 44817, 44819]"," tradicional de Santa luzi[a]. No di[a] 12 [a]o [a]noitecer expõe [a]o relento, em",34384
62,"[(45133, 0), (45136, 0), (45137, 1), (45138, 2)]",45133,4,a,"[45133, 45136, 45137, 45138]", às disparadas pelos [ar]rastadores. Transcende [a] su[a] situ[a]ção rudimentar. Resignado,34630
63,"[(45736, 0), (45739, 0), (45741, 0), (45743, 2), (45744, 0), (45745, 3)]",45736,6,a,"[45736, 45739, 45741, 45743, 45744, 45745]"," se e estendendo [à]
 prole [a]batida e [a]os rebanhos confi[a]dos [a] energi[a] sobre- humana",35088
64,"[(46016, 0), (46017, 1), (46020, 0), (46021, 5)]",46016,4,a,"[46016, 46017, 46020, 46021]"," extravagante
 completa [a] su[a] desdita— [a] hemeralopi[a]. Esta falsa",35291
65,"[(46511, 1), (46513, 0), (46514, 1), (46517, 0)]",46511,4,a,"[46511, 46513, 46514, 46517]","
 Passa certo di[a], [a] su[a] porta, [a] primeira turma de",35670
66,"[(46834, 0), (46838, 0), (46840, 4), (46841, 0)]",46834,4,a,"[46834, 46838, 46840, 46841]"," pelas superstições mais [a]bsurdas.
 Uma [a]nálise destas revelari[a] [a] fusão de estádios",35910
67,"[(47198, 0), (47201, 0), (47204, 0), (47208, 0)]",47198,4,ki,"[47198, 47201, 47204, 47208]"," sequazes numerosos, [que] fanatizam, [que] arrastam, [que] dominam,
 [que] endoidecem— espontaneamente",36190
68,"[(47910, 0), (47912, 0), (47913, 0), (47914, 3)]",47910,4,a,"[47910, 47912, 47913, 47914]"," os
 negros [ha]úças, [a]daptando [à] liturgi[a] todo o ritual",36733
69,"[(50145, 1), (50147, 4), (50151, 1), (50152, 1)]",50145,4,ma,"[50145, 50147, 50151, 50152]",".
 A i[ma]gem é corretíssi[ma].
 Da mes[ma] for[ma] que o geólogo",38433
70,"[(51125, 0), (51126, 0), (51127, 0), (51128, 0)]",51125,4,a,"[51125, 51126, 51127, 51128]"," extravagâncias de
 [a]lexandre [a]bnótico [a]balavam [a] Roma de Marco",39203
71,"[(51491, 4), (51492, 0), (51496, 0), (51499, 0)]",51491,4,a,"[51491, 51492, 51496, 51499]"," seu misticismo comprimido esmagari[a] [a] razão.
 [a]li, vibrando [a] primeira uníssona com",39482
72,"[(51599, 0), (51600, 1), (51601, 4), (51602, 3)]",51599,4,a,"[51599, 51600, 51601, 51602]"," Os Maciéis
 [a] su[a] biografi[a] compendi[a] e resume a",39568
73,"[(51723, 0), (51724, 2), (51726, 1), (51727, 1)]",51723,4,a,"[51723, 51724, 51726, 51727]"," como sede principal [a] povo[a]ção de bo[a] vi[a]gem, que
",39666
74,"[(52096, 0), (52099, 0), (52101, 0), (52104, 0), (52104, 4), (52108, 0)]",52096,6,a,"[52096, 52099, 52101, 52104, 52104, 52108]"," e temeros, [ha]viam- se [a]frontado com [a] malta
 [as]salari[a]da, repelindo- [a] vigorosamente, suplantando",39958
75,"[(52719, 3), (52722, 0), (52722, 2), (52724, 0)]",52719,4,a,"[52719, 52722, 52722, 52724]", mas foram de cobardi[a] feroz. [a]te[a]ram fogo [à] cobertura de folhas,40413
76,"[(53343, 0), (53343, 2), (53345, 0), (53347, 0)]",53343,4,a,"[53343, 53343, 53345, 53347]","
 vazante que [ha]vi[a] por [a]li. [a]gonizava, caído,",40900
77,"[(53554, 0), (53556, 0), (53558, 0), (53558, 4), (53560, 0)]",53554,5,a,"[53554, 53556, 53558, 53558, 53560]"," aparentado com os [a]raújos, [a] quem [a]tribuí[a] os [a]visos que estes recebiam",41066
78,"[(53716, 0), (53717, 0), (53719, 0), (53720, 0)]",53716,4,e,"[53716, 53717, 53719, 53720]"," de Miguel Carlos [e] [e]ra por [e]le [e] seus
 parentes",41197
79,"[(53835, 2), (53836, 1), (53839, 2), (53841, 2)]",53835,4,du,"[53835, 53836, 53839, 53841]"," em fazendas, trazen[do] tu[do] perfeitamente
 conta[do] e medi[do] de memória,",41292
80,"[(54377, 0), (54381, 0), (54381, 3), (54383, 0), (54384, 0)]",54377,5,a,"[54377, 54381, 54381, 54383, 54384]"," disciplina primitiva, [a] tendência

 [a]centu[a]da para [a] [a]tividade mais irrequieta e",41718
81,"[(54794, 0), (54796, 0), (54796, 3), (54797, 0)]",54794,4,a,"[54794, 54796, 54796, 54797]"," de brim
 [a]mericano; [a]bordo[a]do [a]o clássico bastão em",42027
82,"[(55023, 3), (55025, 3), (55028, 0), (55030, 3)]",55023,4,du,"[55023, 55025, 55028, 55030]"," Ele surdia— esquáli[do] e macera[do]— dentro [do] hábito escorri[do], sem relevos",42201
83,"[(55261, 0), (55262, 1), (55265, 1), (55270, 2)]",55261,4,a,"[55261, 55262, 55265, 55270]"," Remodelava- o [à] su[a] imagem. cri[a]va- o.
 ampli[a]va- lhe,",42382
84,"[(55981, 0), (55984, 0), (55986, 3), (55988, 1)]",55981,4,a,"[55981, 55984, 55986, 55988]","
 tardança. [a]conselhou- o [a] que fantasi[as]se qualquer vi[a]gem, permanecendo,",42915
85,"[(56188, 0), (56192, 0), (56195, 0), (56196, 0)]",56188,4,a,"[56188, 56192, 56195, 56196]"," na mesma hora [a]pavorado, doido, [a]bandonando tudo, [a]o [a]caso, pelos sertões",43065
86,"[(56188, 4), (56190, 1), (56192, 4), (56193, 1)]",56188,4,du,"[56188, 56190, 56192, 56193]"," na mesma hora apavora[do], doi[do], abandonan[do] tu[do], ao acaso",43065
87,"[(56361, 0), (56361, 4), (56363, 0), (56365, 0)]",56361,4,a,"[56361, 56361, 56363, 56365]", carne morta. [a]nestesi[a]ra- [a] com [a] própria dor;,43194
88,"[(56521, 2), (56523, 0), (56525, 0), (56526, 1), (56527, 5)]",56521,5,a,"[56521, 56523, 56525, 56526, 56527]"," à capital da bahi[a]. [a]li, [a] su[a] fisionomi[a] estranha: face",43309
89,"[(56602, 2), (56603, 0), (56604, 0), (56608, 0), (56608, 3), (56609, 0)]",56602,6,a,"[56602, 56603, 56604, 56608, 56608, 56609]"," descuidada, que desci[a] [a]té [à] cintura—
 [a]ferro[a]ram [a] curiosidade geral.",43371
90,"[(57355, 0), (57357, 0), (57359, 0), (57361, 4)]",57355,4,a,"[57355, 57357, 57359, 57361]",", sem encarar [a] multidão [a]batida sob [a]
 algaravi[a], que derivava",43926
91,"[(57400, 3), (57402, 0), (57404, 4), (57406, 0), (57407, 0)]",57400,5,a,"[57400, 57402, 57404, 57406, 57407]"," mais decisiva. enunci[a]va- [a] e emudeci[a]; [a]levantava [a] cabeça, descerrava",43960
92,"[(58371, 0), (58374, 0), (58375, 2), (58377, 0), (58378, 2)]",58371,5,a,"[58371, 58374, 58375, 58377, 58378]","
 Inglaterra com [a] Inglaterra, [a] prussi[a] com [a] prussi[a], das ondas",44716
93,"[(61223, 0), (61225, 1), (61226, 0), (61229, 0)]",61223,4,a,"[61223, 61225, 61226, 61229]",", os crentes [a]companharam, re[a]tando [a] marcha, [a] hégira do profeta",46891
94,"[(61352, 0), (61352, 2), (61354, 1), (61355, 0), (61356, 1)]",61352,5,a,"[61352, 61352, 61354, 61355, 61356]"," a que se [a]li[a]vam, di[a] [a] di[a], dezenas de",46989
95,"[(62168, 0), (62170, 2), (62171, 0), (62174, 0)]",62168,4,a,"[62168, 62170, 62171, 62174]"," povo.
 [a]quilo se fazi[a] [a] esmo, [a]doidadamente.
 Aspecto",47588
96,"[(63883, 0), (63884, 1), (63887, 0), (63888, 3)]",63883,4,u,"[63883, 63884, 63887, 63888]"," se derivam para [o] ri[o] Sargento, [o] casari[o] aparecia a um",48893
97,"[(64748, 0), (64749, 0), (64749, 3), (64751, 0)]",64748,4,a,"[64748, 64749, 64749, 64751]", dos beduínos: [a] [a]propri[a]ção pessoal [a]penas de objetos móveis,49558
98,"[(67828, 0), (67831, 0), (67834, 0), (67837, 0), (67840, 0), (67843, 0), (67846, 0), (67849, 0)]",67828,8,dZi,"[67828, 67831, 67834, 67837, 67840, 67843, 67846, 67849]"," os peitos cobertos [de] rosários, [de] verônicas, [de] cruzes, [de] figas, [de] amuletos, [de]
 dentes [de] animais, [de] bentinhos, ou",51901
99,"[(68786, 3), (68788, 3), (68790, 3), (68792, 4)]",68786,4,du,"[68786, 68788, 68790, 68792]"," de bacamarte, espian[do], observan[do], indagan[do], insinuan[do]- se jeitosamente",52617
100,"[(69247, 0), (69249, 0), (69250, 0), (69251, 2)]",69247,4,a,"[69247, 69249, 69250, 69251]"," De espaço
 [a] espaço [a] [a]gitação cresci[a], como se",52950
101,"[(69258, 0), (69259, 0), (69259, 3), (69261, 0)]",69258,4,a,"[69258, 69259, 69259, 69261]"," o tumulto invadisse [a] [as]sembléi[a], [ads]trito às fórmulas de",52960
102,"[(71472, 0), (71476, 0), (71477, 0), (71479, 1)]",71472,4,a,"[71472, 71476, 71477, 71479]"," exigir melhores preliminares [à] missão.
 [a]quele [a]gasalho era mei[a] vitória. Mas",54645
103,"[(71774, 0), (71778, 0), (71780, 0), (71782, 0)]",71774,4,a,"[71774, 71778, 71780, 71782]",". Sobresteve- [a], porém, [a] placidez [ad]mirável, [a] mansuetude— por",54881
104,"[(72332, 0), (72338, 0), (72338, 3), (72340, 0)]",72332,4,a,"[72332, 72338, 72338, 72340]"," de quem vai [à] guerra...
 [as]sisti[a]- [a] também o Conselheiro",55292
105,"[(72617, 0), (72618, 1), (72620, 3), (72622, 2), (72624, 0), (72626, 0), (72629, 0)]",72617,7,a,"[72617, 72618, 72620, 72622, 72624, 72626, 72629]"," registrar.
 [a] re[a]ção foi imedi[a]ta. chefi[a]va- [a] João [a]bade, cujo [a]pito vibrando e na",55512
106,"[(74021, 0), (74022, 0), (74023, 0), (74025, 0)]",74021,4,a,"[74021, 74022, 74023, 74025]"," as
 algaras [a]venturosas [a]lugando [a] bravura [a]os potentados, e",56591
107,"[(75166, 0), (75167, 3), (75168, 0), (75169, 1)]",75166,4,da,"[75166, 75167, 75168, 75169]"," dos
 representantes [da] autori[da]de [da]quela ci[da]de. Mas ao",57464
108,"[(75244, 1), (75245, 0), (75246, 0), (75249, 0), (75252, 0), (75254, 0), (75258, 0)]",75244,7,a,"[75244, 75245, 75246, 75249, 75252, 75254, 75258]"," Conselho, fora co[a]gido [a] [a]bandonar
 precipitadamente [a] comarca, [as]saltada pelos [a]deptos daquele.
 [a]proveitou, por isto",57529
109,"[(75263, 0), (75264, 2), (75267, 2), (75268, 0)]",75263,4,a,"[75263, 75264, 75267, 75268]"," por isto, [a] situ[a]ção, que surgi[a] [a] talho para a",57542
110,"[(75745, 1), (75746, 0), (75747, 1), (75748, 2)]",75745,4,a,"[75745, 75746, 75747, 75748]"," vida romanesca; di[a] [a] di[a] ampli[a]ra o
 domínio",57930
111,"[(75820, 0), (75821, 3), (75825, 0), (75825, 2)]",75820,4,a,"[75820, 75821, 75825, 75825]",", de Itapicuru [a] jeremo[a]bo, não
 [ha]vi[a] uma só vila",57990
112,"[(76420, 0), (76423, 0), (76424, 2), (76427, 0)]",76420,4,a,"[76420, 76423, 76424, 76427]","
 Aumentou- [a]. Conhecendo [a] situ[a]ção, os [ha]bitantes viram, de",58457
113,"[(76508, 0), (76510, 0), (76512, 0), (76514, 0), (76516, 0), (76517, 1)]",76508,6,a,"[76508, 76510, 76512, 76514, 76516, 76517]"," de elementos essenciais [à] marcha [a]li retiveram [a] força [a]té
 [a]o di[a] 12 em que",58525
114,"[(76931, 0), (76934, 0), (76936, 1), (76937, 0)]",76931,4,a,"[76931, 76934, 76936, 76937]","
 uma flora [a]terradora.
 [a] própria ca[a]tinga [as]sume um aspecto novo",58856
115,"[(76999, 0), (77001, 0), (77003, 1), (77005, 1)]",76999,4,a,"[76999, 77001, 77003, 77005]"," expedição penetrou- [a] logo [a]o segundo di[a] de vi[a]gem, quando,",58910
116,"[(78169, 0), (78172, 2), (78175, 0), (78177, 0)]",78169,4,a,"[78169, 78172, 78175, 78177]"," não revelava lutadores [a] postos. dormi[a].
 [a] multidão [a]proximou- se,",59802
117,"[(79434, 2), (79436, 3), (79437, 2), (79441, 0), (79445, 1)]",79434,5,si,"[79434, 79436, 79437, 79441, 79445]"," a desordem vulgar aces[sí]vel às diligen[ci]as poli[ci]ais, contrapunha- [se] aquele,
 con[si]derando- a mais",60742
118,"[(79616, 0), (79620, 1), (79621, 0), (79622, 1), (79626, 0)]",79616,5,a,"[79616, 79620, 79621, 79622, 79626]","- se informações [a]larmantes, dando, di[a] [a] di[a],
 realce [à] gravidade das coisas",60878
119,"[(79826, 0), (79828, 1), (79829, 0), (79830, 0)]",79826,4,a,"[79826, 79828, 79829, 79830]","

 Esta [a]vançada já i[a] [ads]trita [a] um plano de",61044
120,"[(79842, 0), (79843, 2), (79845, 2), (79846, 0), (79847, 0)]",79842,5,a,"[79842, 79843, 79845, 79846, 79847]", do Distrito compreendera [a] situ[a]ção. plane[a]ra [a]tacar [a] revolta por dois,61058
121,"[(80096, 0), (80099, 4), (80101, 3), (80103, 4)]",80096,4,du,"[80096, 80099, 80101, 80103]"," as
 asperezas [do] solo, auxilian[do], reforçan[do] e esclarecen[do] a ação das",61256
122,"[(80613, 0), (80615, 0), (80618, 1), (80619, 0)]",80613,4,dZi,"[80613, 80615, 80618, 80619]",", virguladas
 [de] tinidos [de] armas, cin[di]das [de] risos joviais mal",61659
123,"[(81433, 0), (81437, 0), (81440, 4), (81445, 0)]",81433,4,si,"[81433, 81437, 81440, 81445]",". Alonga- [se]; afasta- [se];
 desapare[ce].
 Passam- [se] minutos. No",62254
124,"[(82116, 0), (82118, 0), (82120, 0), (82121, 0)]",82116,4,a,"[82116, 82118, 82120, 82121]"," e estéril, [a]quela flora [a]gressiva
 [a]bre [a]o sertanejo um seio",62755
125,"[(82908, 0), (82908, 2), (82909, 0), (82910, 4)]",82908,4,a,"[82908, 82908, 82909, 82910]"," espantalho de uma [a]me[a]ça [à] soberani[a] do Estado,",63377
126,"[(82985, 3), (82987, 0), (82988, 2), (82991, 0)]",82985,4,a,"[82985, 82987, 82988, 82991]"," ninguém
 se iludi[a] ante [a] situ[a]ção sertaneja. [a]cima do desequilibrado que",63439
127,"[(83151, 0), (83152, 1), (83154, 0), (83155, 4)]",83151,4,a,"[83151, 83152, 83154, 83155]",", que traçara [a] su[a]
 [a]titude retiline[a]mente pela lei.",63573
128,"[(83212, 0), (83213, 0), (83215, 0), (83218, 0)]",83212,4,a,"[83212, 83213, 83215, 83218]","— que o [ad]versário [a]proveitara, [a]parelhando- se [a] um
 revide",63623
