um,ADVL
refluxo,ACC
para,ACC
o,ACC
passado,N<
.,PUnc
E,STA
foi,STA
",",PUnc
na,ADVL
significação,ADVL
integral,ACC
da,N<
palavra,N<
",",PUnc
um,N<PRED
crime,N<
.,PUnc
Denunciemo-lo,ADVL
.,PUnc
E,ACC
tanto,ACC
quanto,STA
o,ADVL
permitir,ADVL
a,ACC
firmeza,ACC
do,ACC
nosso,ACC
espírito,ACC
façamos,ADVL
jus,N<
ao,ACC
admirável,ADVL
conceito,ACC
de,N<
Taine,N<
sobre,N<
o,ACC
narrador,P<
sincero,ACC
que,ACC
encara,N<
a,N<
História,ACC
como,SC
ela,SUBJ
merece,N<
:,PUnc
il,N<PRED
s,N<
’,PUnc
irrite,ADVL
contre,ADVL
les,SUBJ
demi,N<
vérités,ACC
que,SUBJ
sont,N<
des,N<
demi,ACC
faussetés,ACC
",",PUnc
contre,CJT
les,ADVL
auteurs,>N
qui,>N
n,ACC
’,PUnc
altèrent,N<
ni,N<
une,ADVL
date,ADVL
",",PUnc
ni,ADVL
une,ADVL
généalogie,N<
",",PUnc
mais,>N
dénaturent,ACC
les,ACC
sentiments,N<
et,ADVL
les,ACC
moeurs,N<
",",PUnc
qui,ADVL
gardent,ADVL
le,SUBJ
dessin,ADVL
des,N<
événements,ACC
et,ACC
en,ACC
changent,N<
la,N<
couleur,ACC
",",PUnc
qui,CJT
copient,ADVL
les,ACC
faits,ACC
et,N<
défigurent,ACC
l'âme,N<
.,PUnc
il,SUBJ
veut,ADVL
sentir,ADVL
en,N<
barbare,N<
",",PUnc
parmi,CJT
les,ADVL
barbares,N<
",",PUnc
et,CJT
",",PUnc
parmi,>N
les,N<PRED
anciens,N<
",",PUnc
en,ADVL
ancien..,N<
Euclides,N<
da,N<
Cunha,ACC
.,PUnc
São,ADVL
Paulo,N<
",",PUnc
1901,N<PRED
3,N<
A,ACC
TERRA,SUBJ
I.,N<
Preliminares,N<
.,PUnc
A,STA
entrada,SUBJ
do,N<ARGS
sertão,P<
.,PUnc
Terra,SUBJ
ignota,SUBJ
.,PUnc
Em,ADVL
caminho,ADVL
para,N<
Monte,>N
Santo,ADVL
.,PUnc
Primeiras,SUBJ
impressões,N<
.,PUnc
Um,ADVL
sonho,SUBJ
de,N<
geólogo,P<
.,PUnc
II,N<
.,PUnc
Golpe,SUBJ
de,N<
vista,STA
do,ADVL
alto,ADVL
de,N<
Monte,>N
Santo,ADVL
.,STA
Do,SUBJ
alto,ADVL
da,N<
Favela,N<
.,PUnc
III,N<
.,PUnc
O,STA
clima,SUBJ
.,PUnc
Higrômetros,ADVL
singulares,ACC
.,PUnc
IV,ACC
.,PUnc
As,>N
secas,SUBJ
.,PUnc
Hipóteses,SUBJ
sobre,N<
a,N<
sua,>N
gênese,ACC
.,PUnc
As,>N
caatingas,SUBJ
.,PUnc
V.,>N
Uma,SUBJ
categoria,N<
geográfica,STA
que,ACC
Hegel,N<
não,SUBJ
citou,N<
.,PUnc
Como,SUBJ
se,SUBJ
faz,ADVL
um,ADVL
deserto,N<
.,PUnc
Como,SUBJ
se,ADVL
extingue,ACC
o,ACC
deserto,ACC
.,PUnc
O,SUBJ
martírio,SUBJ
secular,ADVL
da,ACC
terra,ACC
.,PUnc
4,N<
Capítulo,N<
I,N<
Preliminares,ACC
O,N<
Planalto,SUBJ
Central,N<
do,ACC
Brasil,N<
desce,SUBJ
",",PUnc
nos,ACC
litorais,N<PRED
do,ADVL
Sul,N<
",",PUnc
em,ADVL
escarpas,>N
inteiriças,CJT
",",PUnc
altas,CJT
e,N<PRED
abruptas,N<
.,PUnc
Assoberba,ADVL
os,ACC
mares,N<
.,PUnc
e,STA
desata-se,ACC
em,ADVL
chapadões,ADVL
nivelados,>N
pelos,ACC
visos,ACC
das,ACC
cordilheiras,>N
marítimas,N<
",",PUnc
distendidas,N<PRED
do,ADVL
Rio,ACC
Grande,N<
a,ACC
Minas,N<
.,PUnc
Mas,STA
ao,STA
derivar,ADVL
para,ADVL
as,>N
terras,N<
setentrionais,ADVL
diminui,ACC
gradualmente,ADVL
de,N<
altitude,P<
",",PUnc
ao,ADVL
mesmo,ADVL
tempo,ADVL
que,KOMP<
descamba,N<
para,N<
a,ACC
costa,N<
oriental,N<
em,N<
andares,N<
",",PUnc
ou,CJT
repetidos,CJT
socalcos,ACC
",",PUnc
que,ACC
o,N<PRED
despem,ACC
da,ADVL
primitiva,>N
grandeza,ACC
afastando-o,ACC
consideravelmente,ADVL
para,PIV
o,ACC
interior,P<
.,PUnc
De,ADVL
sorte,ADVL
que,ACC
quem,SUBJ
o,ACC
contorna,P<
",",PUnc
seguindo,ADVL
para,ADVL
o,ACC
norte,N<
",",PUnc
observa,N<PRED
notáveis,ADVL
mudanças,ACC
de,N<
relevos,N<
:,N<
a,ADVL
principio,N<PRED
o,ACC
traço,ACC
contínuo,ACC
e,ADVL
dominante,ADVL
das,>N
montanhas,N<
",",PUnc
precintando-o,ADVL
",",PUnc
com,N<PRED
destaque,ADVL
saliente,N<
",",PUnc
sobre,ADVL
a,ACC
linha,ACC
projetante,ADVL
das,>N
praias,ADVL
.,PUnc
depois,ADVL
",",PUnc
no,CJT
segmento,ADVL
de,N<ARGO
orla,ACC
marítima,ACC
entre,ADVL
o,ACC
Rio,P<
de,N<
Janeiro,SUBJ
e,ACC
o,ACC
Espírito,CJT
Santo,ACC
",",PUnc
um,SUBJ
aparelho,>N
litoral,ACC
revolto,ACC
",",PUnc
feito,N<PRED
da,ADVL
envergadura,ACC
desarticulada,ADVL
das,N<
serras,N<
",",PUnc
riçado,ADVL
de,N<
cumeadas,ACC
e,ADVL
corroído,CJT
de,N<
angras,N<
",",PUnc
e,ADVL
escancelando-se,SUBJ
em,ADVL
baias,P<
",",PUnc
repartindo-se,ADVL
em,ADVL
ilhas,P<
",",PUnc
e,ADVL
desagregando-se,CJT
em,ADVL
recifes,P<
desnudos,ACC
",",ACC
à,ADVL
maneira,N<PRED
de,N<
escombros,ACC
do,ADVL
conflito,N<
secular,ADVL
que,SUBJ
ali,ADVL
se,ACC
trava,N<
entre,ADVL
os,ACC
mares,N<
e,ADVL
a,>N
terra,CJT
.,PUnc
em,ADVL
seguida,P<
",",PUnc
transposto,N<PRED
o,ACC
15°,ACC
paralelo,ADVL
",",PUnc
a,ADVL
atenuação,SUBJ
de,N<
todos,>N
os,ACC
acidentes,ADVL
-,>N
serranias,N<PRED
que,SUBJ
se,ACC
arredondam,N<
e,ACC
suavizam,CJT
as,>N
linhas,SUBJ
dos,ACC
taludes,ADVL
",",PUnc
fracionadas,N<PRED
em,ADVL
morros,ACC
de,N<
encostas,P<
indistintas,ACC
no,ADVL
horizonte,ADVL
que,ACC
se,ACC
amplia,ADVL
.,PUnc
até,STA
que,ACC
em,N<
plena,N<
faixa,ADVL
costeira,ADVL
da,ADVL
Bahia,N<
",",PUnc
o,ACC
olhar,N<
",",PUnc
livre,N<PRED
dos,N<PRED
anteparos,N<
de,N<
serras,P<
que,ACC
até,SUBJ
lá,N<
o,ACC
repulsam,CJT
e,ADVL
abreviam,CJT
",",PUnc
se,ACC
dilata,ADVL
em,ADVL
cheio,ACC
para,ADVL
o,ACC
ocidente,ADVL
",",PUnc
mergulhando,ADVL
no,ADVL
âmago,ADVL
da,ADVL
terra,ADVL
amplíssima,ACC
lentamente,ACC
emergindo,ADVL
num,>N
ondear,ADVL
longínquo,ACC
de,N<
chapadas,N<
...,PUnc
Este,SUBJ
facies,SUBJ
geográfico,ADVL
resume,ACC
a,ACC
morfogenia,ACC
do,ADVL
grande,ACC
maciço,ADVL
continental,N<
.,PUnc
Demonstra-o,N<
análise,N<
mais,ADVL
íntima,ACC
feita,STA
por,ADVL
um,SUBJ
corte,ACC
meridiano,ACC
qualquer,N<
",",PUnc
acompanhando,ADVL
à,ADVL
bacia,N<
do,ADVL
S.,N<
Francisco,ADVL
.,PUnc
Vê-se,N<
",",PUnc
do,ADVL
fato,ADVL
",",PUnc
que,SUBJ
três,N<PRED
formações,SUBJ
geognósticas,N<
díspares,N<
",",PUnc
de,N<PRED
idades,SUBJ
mal,ACC
determinadas,ACC
",",>N
aí,ADVL
se,ACC
substituem,N<
",",PUnc
ou,CJT
se,ACC
entrelaçam,CJT
",",PUnc
em,STA
estratificações,CJT
discordantes,N<
",",PUnc
formando,ADVL
o,ACC
predomínio,ACC
exclusivo,N<
de,N<
umas,ACC
",",PUnc
ou,CJT
a,CJT
combinação,CJT
de,N<ARGO
todas,N<
",",PUnc
os,ACC
traços,ADVL
variáveis,ADVL
da,N<
fisionomia,ADVL
da,ADVL
terra,ACC
.,PUnc
Surgem,ADVL
primeiro,>N
as,>N
possantes,ADVL
massas,P<
gnaissegraníticas,N<
",",PUnc
que,ACC
a,ACC
partir,ADVL
do,N<
extremo,N<
sul,ACC
se,ACC
encurvam,N<
em,ADVL
desmedido,ADVL
anfiteatro,P<
",",PUnc
alteando,ADVL
as,ACC
paisagens,ACC
admiráveis,P<
que,ACC
tanto,N<
encantam,N<
e,ACC
iludem,ACC
as,>N
vistas,ACC
inexpertas,ACC
dos,ACC
forasteiros,ACC
.,PUnc
A,STA
princípio,STA
abeiradas,SUBJ
do,ACC
mar,ADVL
progridem,N<
em,ACC
sucessivas,>N
cadeias,N<
",",PUnc
sem,N<PRED
rebentos,CJT
laterais,ACC
",",PUnc
até,>N
as,>N
raias,N<
do,ADVL
litoral,N<
paulista,ADVL
",",PUnc
feito,ADVL
dilatado,ADVL
muro,N<
de,N<
arrimo,P<
sustentando,ADVL
as,ADVL
formações,ADVL
sedimentárias,P<
do,N<
interior,ACC
.,PUnc
A,STA
terra,SUBJ
sobranceia,N<
o,ACC
oceano,CJT
",",PUnc
dominante,ADVL
",",PUnc
do,N<PRED
fastígio,ADVL
das,>N
escarpas,N<
.,PUnc
e,ADVL
quem,SUBJ
a,>N
alcança,N<
como,N<
quem,SUBJ
vinga,SUBJ
a,ACC
rampa,N<
de,N<
um,ACC
majestoso,N<
palco,N<
",",PUnc
justifica,N<PRED
todos,>N
os,ACC
exageros,ADVL
descritivos,P<
-,>N
do,ADVL
gongorismo,ACC
de,N<
Rocha,>N
Pita,SUBJ
às,N<
extravagâncias,N<
geniais,N<
de,N<
Buckle,N<
-,PUnc
que,SUBJ
fazem,N<PRED
deste,N<
país,ACC
região,ACC
privilegiada,N<
",",PUnc
onde,ADVL
a,N<
natureza,ADVL
armou,STA
a,ACC
sua,ACC
mais,>N
portentosa,N<
oficina,P<
.,PUnc
É,ACC
que,SUBJ
",",PUnc
de,N<PRED
feito,N<PRED
",",PUnc
sob,ADVL
o,ACC
tríplice,ACC
aspecto,ACC
astronômico,ACC
",",PUnc
topográfico,N<PRED
e,ADVL
geológico,CJT
a,ADVL
nenhuma,N<
se,ACC
afigura,ADVL
tão,SUBJ
afeiçoada,ADVL
à,N<
Vida,N<
.,PUnc
Transmontadas,SUBJ
as,N<
serras,N<
",",PUnc
sob,ADVL
a,ADVL
linha,ACC
fulgurante,ADVL
do,N<
trópico,N<
",",PUnc
vêem-se,CJT
",",PUnc
estirados,N<PRED
para,ADVL
o,ACC
ocidente,SUBJ
e,ADVL
norte,ADVL
",",PUnc
extensos,CJT
chapadões,SUBJ
cuja,N<
urdidura,ADVL
de,N<
camadas,ACC
horizontais,ADVL
de,N<
grés,>N
argiloso,ADVL
",",PUnc
intercaladas,SUBJ
de,N<
emersões,P<
calcárias,ACC
",",PUnc
ou,CJT
diques,CJT
de,OC
rochas,>N
eruptivas,ACC
básicas,N<
",",PUnc
do,ADVL
mesmo,ACC
passo,N<
lhes,N<
explica,N<
a,ACC
exuberância,ACC
sem,ADVL
par,ACC
e,>N
as,CJT
áreas,CJT
complanadas,N<
e,>N
vastas,CJT
.,PUnc
A,ADVL
terra,SUBJ
atrai,N<
irresistivelmente,ADVL
o,ACC
homem,ADVL
",",PUnc
arrebatando-o,>N
na,ADVL
própria,N<
correnteza,ACC
dos,ACC
rios,ACC
que,ACC
",",PUnc
do,N<PRED
Iguaçu,SUBJ
ao,ADVL
5,N<
Tietê,N<
",",PUnc
traçando,ADVL
originalíssima,ACC
rede,N<
hidrográfica,ACC
",",PUnc
correm,ADVL
da,N<
costa,ACC
para,ADVL
os,ACC
sertões,SUBJ
",",PUnc
como,SUBJ
se,SUBJ
nascessem,ADVL
nos,ACC
mares,N<
e,CO
canalizassem,ACC
as,CJT
suas,ACC
energias,ACC
eternas,ACC
para,ADVL
os,ACC
recessos,ACC
das,ACC
matas,ACC
opulentas,ACC
.,PUnc
Rasgam,SUBJ
facilmente,STA
aqueles,ADVL
estratos,ACC
em,ADVL
traçados,>N
uniformes,SUBJ
",",PUnc
sem,N<PRED
talvegues,ADVL
deprimidos,N<
",",PUnc
e,ADVL
dão,CJT
ao,ADVL
conjunto,ADVL
dos,P<
terrenos,ACC
até,ADVL
além,ACC
do,ADVL
Paraná,ADVL
a,ADVL
feição,N<
de,N<ARGO
largos,>N
plainos,ACC
ondulados,N<
",",PUnc
desmedidos,CJT
.,PUnc
Entretanto,ADVL
",",PUnc
para,ADVL
leste,SUBJ
a,ADVL
natureza,>N
é,ACC
diversa,ACC
.,PUnc
Estereografa-se,SUBJ
",",PUnc
duramente,ADVL
",",PUnc
nas,>N
placas,>N
rígidas,ACC
dos,ACC
afloramentos,>N
gnáissicos,N<
.,PUnc
e,STA
o,ACC
talude,CJT
dos,ACC
planaltos,N<
dobra-se,N<
do,ADVL
socalco,ADVL
da,ADVL
Mantiqueira,ADVL
",",PUnc
onde,ADVL
se,ACC
encaixa,N<
o,ACC
Paraíba,ACC
",",PUnc
ou,N<PRED
desfaz-se,CJT
em,ADVL
rebentos,P<
que,ACC
",",PUnc
após,SUBJ
apontarem,STA
as,>N
alturas,N<
de,N<
píncaros,>N
centralizados,ACC
pelo,ADVL
Itatiaia,N<
",",PUnc
levam,SUBJ
até,STA
o,ACC
âmago,N<
de,N<
Minas,>N
as,STA
paisagens,SUBJ
alpestres,P<
do,N<
litoral,N<
.,PUnc
Mas,SUBJ
ao,ADVL
penetrar-se,ADVL
este,SUBJ
Estado,ADVL
nota-se,N<
",",PUnc
malgrado,ADVL
o,ADVL
tumultuar,ACC
das,ACC
serranias,N<
",",PUnc
lenta,N<PRED
descensão,N<PRED
geral,ACC
para,N<
o,ACC
norte,ADVL
.,PUnc
Como,ADVL
nos,ACC
altos,N<
chapadões,SUBJ
de,N<
São,ACC
Paulo,ADVL
e,N<
do,ADVL
Paraná,CJT
",",PUnc
todas,N<PRED
as,N<
caudais,N<
revelam,P<
este,ADVL
pendor,ADVL
insensível,ACC
com,SUBJ
derivarem,ACC
em,ADVL
leitos,>N
contorcidos,N<
e,ADVL
vencendo,CJT
",",PUnc
contrafeitas,N<
",",PUnc
o,ACC
antagonismo,CJT
permanente,ADVL
das,>N
montanhas,N<
:,PUnc
o,ACC
rio,N<PRED
Grande,ADVL
rompe,N<
",",PUnc
rasgando-a,ADVL
com,N<PRED
a,>N
força,>N
viva,ADVL
da,N<
corrente,ADVL
",",PUnc
a,ADVL
serra,ADVL
da,ADVL
Canastra,N<
",",PUnc
e,CJT
",",PUnc
norteados,CJT
pela,N<
meridiana,N<
",",PUnc
abrem-se,ACC
adiante,N<PRED
os,ACC
fundos,ACC
vales,N<
de,N<
erosão,N<
do,ADVL
rio,ACC
das,ADVL
Velhas,N<
e,ADVL
do,CJT
S.,N<
Francisco,ADVL
.,PUnc
Ao,ADVL
mesmo,ADVL
tempo,ADVL
",",PUnc
transpostas,CJT
as,N<PRED
sublevações,ACC
que,ACC
vão,N<
de,N<
Barbacena,N<
a,ACC
Ouro,ACC
Preto,N<
",",PUnc
as,STA
formações,SUBJ
primitivas,P<
desaparecem,N<
",",PUnc
mesmo,N<PRED
nas,>N
maiores,N<
eminências,CJT
",",PUnc
e,CO
jazem,CJT
sotopostas,N<
a,ACC
complexas,ACC
séries,P<
de,N<
xistos,N<
metamórficos,N<
",",PUnc
infiltrados,SUBJ
de,N<PRED
veeiros,P<
fartos,ACC
",",PUnc
nas,>N
paragens,ACC
lendárias,N<
do,N<
ouro,ACC
.,PUnc
A,STA
mudança,SUBJ
estrutural,N<
origina,ACC
quadros,N<
naturais,ADVL
mais,ADVL
imponentes,ACC
que,ACC
os,ACC
da,N<
borda,ACC
marítima,ACC
.,PUnc
A,ADVL
região,SUBJ
continua,STA
alpestre,ADVL
.,PUnc
O,SUBJ
caráter,SUBJ
das,N<
rochas,N<
",",PUnc
exposto,CJT
nas,>N
abas,N<
dos,ACC
cerros,ACC
de,N<
quartzito,ACC
",",PUnc
ou,ADVL
nas,CJT
grimpas,ACC
em,ADVL
que,ACC
se,ACC
empilham,N<
as,ADVL
placas,SUBJ
do,ADVL
itacolomito,ACC
avassalando,ADVL
as,ADVL
alturas,P<
",",PUnc
aviva,N<PRED
todos,ADVL
os,ACC
acidentes,ADVL
",",PUnc
desde,ADVL
os,ACC
maciços,ACC
que,ACC
vão,N<
de,N<
Ouro,ACC
Branco,SUBJ
a,ACC
Sabará,ACC
",",PUnc
à,N<PRED
zona,N<
diamantina,N<
expandindo-se,ADVL
para,N<
nordeste,ACC
nas,>N
chapadas,ACC
que,SUBJ
se,ACC
desenrolam,N<
nivelando-se,ACC
às,>N
cimas,ADVL
da,N<
serra,ADVL
do,ADVL
Espinhaço,ADVL
.,PUnc
e,ADVL
esta,CJT
",",PUnc
apesar,ADVL
da,ADVL
sugestiva,ACC
denominação,ADVL
de,N<ARGO
Eschwege,P<
",",PUnc
mal,ADVL
sobressai,ACC
",",PUnc
entre,>N
aquelas,SUBJ
lombadas,N<
definidoras,ADVL
de,ACC
uma,>N
situação,ACC
dominante,N<
.,PUnc
Dali,SUBJ
descem,STA
",",PUnc
acachoantes,N<PRED
",",PUnc
para,ADVL
o,ACC
levante,SUBJ
",",PUnc
tombando,ADVL
em,ADVL
catadupas,ACC
ou,ADVL
saltando,CJT
travessões,ACC
sucessivos,ADVL
",",PUnc
todos,>N
os,ACC
rios,ADVL
que,ACC
do,N<
Jequitinhonha,N<
ao,ADVL
Doce,ADVL
procuram,ADVL
os,ACC
terraços,ADVL
inferiores,N<
do,ACC
planalto,ACC
arrimados,ADVL
à,N<
serra,>N
dos,ACC
Aimorés,N<
.,PUnc
e,SUBJ
volvem,>N
águas,CJT
remansadas,ACC
para,ADVL
o,ACC
poente,ADVL
os,ACC
que,ACC
se,ACC
destinam,ADVL
à,STA
bacia,ACC
de,N<
captação,N<
do,ADVL
S.,N<
Francisco,ADVL
",",PUnc
em,ADVL
cujo,ADVL
vale,ADVL
",",PUnc
depois,ADVL
de,A<
percorridas,>N
ao,ADVL
sul,ADVL
as,ADVL
interessantes,SUBJ
formações,ADVL
calcárias,N<
do,N<
rio,ACC
das,ADVL
Velhas,SUBJ
",",PUnc
salpintadas,N<PRED
de,N<
lagos,ACC
",",ACC
solapadas,N<PRED
de,N<
sumidouros,N<
e,ACC
ribeirões,CJT
subterrâneos,CJT
",",PUnc
onde,ADVL
se,N<PRED
abrem,N<
as,ADVL
cavernas,ACC
do,N<
homem,ADVL
pré-histórico,ACC
de,N<
Lund,N<
",",PUnc
se,ACC
acentuam,STA
outras,SUBJ
transições,ACC
na,>N
contextura,N<
superficial,ACC
do,ADVL
solo,ADVL
.,PUnc
De,>N
fato,N<
",",PUnc
as,ADVL
camadas,SUBJ
anteriores,P<
",",PUnc
que,ACC
vimos,N<PRED
superpostas,N<
às,ACC
rochas,>N
graníticas,ACC
",",PUnc
decaem,CJT
",",PUnc
por,ADVL
sua,ADVL
vez,ADVL
sotopondo-se,ACC
a,ACC
outras,P<
",",PUnc
mais,CJT
modernas,CJT
de,N<
espessos,>N
estratos,ACC
de,N<
grés,P<
.,PUnc
Novo,N<
horizonte,ADVL
geológico,N<
reponta,ACC
com,ACC
um,>N
traço,N<
original,ACC
e,N<
interessante,ADVL
.,PUnc
Mal,SUBJ
estudado,STA
embora,ACC
",",PUnc
caracteriza-o,ADVL
notável,SUBJ
significação,SUBJ
orográfica,N<
",",PUnc
porque,ACC
as,ADVL
cordilheiras,ADVL
dominantes,P<
do,N<
sul,ACC
ali,N<
se,ACC
extinguem,ADVL
",",PUnc
soterradas,CJT
",",PUnc
numa,>N
inumação,ADVL
estupenda,ACC
",",PUnc
pelos,STA
possantes,N<PRED
estratos,ACC
mais,N<
recentes,N<
",",PUnc
que,SUBJ
as,N<PRED
circundam,N<
.,PUnc
A,STA
terra,STA
",",PUnc
porém,ADVL
",",PUnc
permanece,ADVL
elevada,CJT
",",PUnc
alongando-se,ADVL
em,ADVL
planuras,ADVL
amplas,ACC
",",PUnc
ou,CJT
avultando,CJT
em,ADVL
falsas,ADVL
montanhas,SUBJ
de,N<
denudação,ACC
",",PUnc
descendo,ADVL
em,ADVL
aclives,ACC
fortes,ADVL
",",PUnc
mas,CJT
tendo,ADVL
os,ACC
dorsos,ADVL
alargados,N<
em,ACC
plainos,>N
inscritos,ADVL
num,>N
horizonte,ADVL
de,N<
nível,N<
",",PUnc
apenas,>N
apontoado,ADVL
a,ACC
leste,>N
pelos,>N
vértices,ACC
dos,ACC
albardões,N<
distantes,N<
",",PUnc
que,ACC
perlongam,N<PRED
a,N<
costa,ACC
.,PUnc
Verifica-se,ADVL
.,PUnc
assim,ADVL
",",PUnc
a,>N
tendência,N<
para,ACC
um,SUBJ
aplainamento,ACC
geral,ACC
.,PUnc
6,N<
Porque,SUBJ
",",PUnc
neste,ADVL
coincidir,ADVL
das,>N
terras,ACC
altas,ACC
do,N<
interior,N<
e,CO
a,CJT
depressão,CJT
das,P<
formações,ADVL
arqueanas,N<
",",PUnc
a,ADVL
região,N<
montanhosa,N<
de,N<ARGO
minas,>N
se,ACC
vai,N<
prendendo,MV
",",PUnc
sem,ADVL
ressaltos,ADVL
",",PUnc
à,ADVL
extensa,SUBJ
zona,ACC
dos,ACC
tabuleiros,ACC
do,ADVL
norte,N<
.,PUnc
A,STA
serra,SUBJ
do,N<
Grão,ADVL
Mogol,SUBJ
raiando,ADVL
as,ADVL
lindes,ACC
da,N<
Bahia,ACC
",",PUnc
